Call Number,Unit ID,Incident Number,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID
160011403,65,16000251,01/01/2016,01/01/2016,01/01/2016 08:53:57 AM,01/01/2016 08:54:43 AM,01/01/2016 08:56:34 AM,01/01/2016 08:56:47 AM,01/01/2016 09:04:35 AM,01/01/2016 09:25:53 AM,01/01/2016 09:46:12 AM,Code 3 Transport,01/01/2016 10:33:03 AM,400 Block of GEARY ST,San Francisco,94102,B01,03,1411,2,2,2,true,Non Life-threatening,1,MEDIC,1,1,3,Tenderloin,160011403-65
160010943,AM20,16000180,01/01/2016,12/31/2015,01/01/2016 03:58:40 AM,01/01/2016 04:00:36 AM,01/01/2016 04:03:32 AM,01/01/2016 04:04:55 AM,01/01/2016 04:16:01 AM,01/01/2016 04:17:06 AM,01/01/2016 04:52:33 AM,Code 2 Transport,01/01/2016 05:13:23 AM,300 Block of LARKIN ST,San Francisco,94102,B02,03,1644,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,2,2,6,Tenderloin,160010943-AM20
160010611,70,16000125,01/01/2016,12/31/2015,01/01/2016 02:20:08 AM,01/01/2016 02:20:08 AM,01/01/2016 02:25:55 AM,,,,,Code 2 Transport,01/01/2016 02:26:36 AM,1400 Block of HAIGHT ST,San Francisco,94117,B05,21,4466,2,2,2,true,Non Life-threatening,1,MEDIC,3,5,5,Haight Ashbury,160010611-70
160012581,E13,16000393,01/01/2016,01/01/2016,01/01/2016 03:55:54 PM,01/01/2016 03:56:26 PM,01/01/2016 03:56:36 PM,01/01/2016 03:57:20 PM,01/01/2016 03:59:08 PM,,,Code 2 Transport,01/01/2016 04:09:15 PM,500 Block of CALIFORNIA ST,San Francisco,94104,B01,13,1234,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,Financial District/South Beach,160012581-E13
160011518,53,16000269,01/01/2016,01/01/2016,01/01/2016 09:43:09 AM,01/01/2016 09:44:04 AM,01/01/2016 09:44:29 AM,01/01/2016 09:44:38 AM,01/01/2016 09:47:38 AM,01/01/2016 10:08:21 AM,01/01/2016 10:53:56 AM,Code 2 Transport,01/01/2016 11:15:21 AM,500 Block of OFARRELL ST,San Francisco,94102,B04,03,1544,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,1,6,Tenderloin,160011518-53
160011252,E28,16000227,01/01/2016,12/31/2015,01/01/2016 07:18:30 AM,01/01/2016 07:19:20 AM,01/01/2016 07:19:25 AM,01/01/2016 07:21:15 AM,01/01/2016 07:24:09 AM,,,Code 2 Transport,01/01/2016 07:25:45 AM,VAN NESS AV/NORTH POINT ST,San Francisco,94109,B04,28,3143,3,3,3,false,Potentially Life-Threatening,1,ENGINE,2,1,2,Russian Hill,160011252-E28
160013508,E33,16000500,01/01/2016,01/01/2016,01/01/2016 08:45:40 PM,01/01/2016 08:45:40 PM,01/01/2016 08:45:48 PM,01/01/2016 08:46:51 PM,01/01/2016 08:48:26 PM,,,Fire,01/01/2016 08:48:56 PM,MISSION ST/SICKLES AV,San Francisco,94112,B09,33,6213,3,3,3,true,Alarm,1,ENGINE,1,9,11,Outer Mission,160013508-E33
160010013,63,16000002,01/01/2016,12/31/2015,01/01/2016 12:03:47 AM,01/01/2016 12:03:47 AM,01/01/2016 12:05:29 AM,,,,,Other,01/01/2016 12:07:33 AM,MARKET ST/STEUART ST,San Francisco,94105,B99,13,1133,2,2,2,true,Non Life-threatening,1,MEDIC,1,1,3,Financial District/South Beach,160010013-63
160010417,PT100,16000078,01/01/2016,12/31/2015,01/01/2016 01:32:31 AM,01/01/2016 01:32:31 AM,01/01/2016 01:33:23 AM,,,,,Code 2 Transport,01/01/2016 01:36:46 AM,FOLSOM ST/11TH ST,San Francisco,94103,B02,36,5114,2,2,2,false,Non Life-threatening,1,PRIVATE,3,2,6,Mission,160010417-PT100
160012088,D2,16000343,01/01/2016,01/01/2016,01/01/2016 01:31:07 PM,01/01/2016 01:33:02 PM,01/01/2016 01:33:25 PM,01/01/2016 01:34:07 PM,01/01/2016 01:35:17 PM,,,Fire,01/01/2016 01:39:08 PM,GOLDEN GATE AV/STEINER ST,San Francisco,94115,B05,05,3625,3,3,3,false,Alarm,1,CHIEF,1,5,5,Western Addition,160012088-D2
160011013,52,16000188,01/01/2016,12/31/2015,01/01/2016 04:39:49 AM,01/01/2016 04:40:03 AM,01/01/2016 04:42:34 AM,01/01/2016 04:42:49 AM,01/01/2016 04:52:50 AM,,,No Merit,01/01/2016 05:01:07 AM,600 Block of VALENCIA ST,San Francisco,94110,B02,07,5247,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,8,Mission,160011013-52
160011150,T03,16000209,01/01/2016,12/31/2015,01/01/2016 06:01:45 AM,01/01/2016 06:01:45 AM,01/01/2016 06:03:41 AM,01/01/2016 06:05:06 AM,01/01/2016 06:08:16 AM,,,Other,01/01/2016 06:10:51 AM,HAYES ST/VAN NESS AV,San Francisco,94102,B02,36,3166,3,3,3,false,Potentially Life-Threatening,1,TRUCK,4,2,6,Tenderloin,160011150-T03
160012411,E15,16000371,01/01/2016,01/01/2016,01/01/2016 03:06:28 PM,01/01/2016 03:07:05 PM,01/01/2016 03:07:27 PM,01/01/2016 03:08:37 PM,01/01/2016 03:14:40 PM,,,Against Medical Advice,01/01/2016 03:33:27 PM,100 Block of HAMERTON AVE,San Francisco,94131,B09,26,8213,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,9,8,West of Twin Peaks,160012411-E15
160010282,KM04,16000049,01/01/2016,12/31/2015,01/01/2016 01:00:34 AM,01/01/2016 01:01:33 AM,01/01/2016 01:01:57 AM,01/01/2016 01:02:37 AM,01/01/2016 01:07:53 AM,01/01/2016 01:23:26 AM,01/01/2016 01:42:59 AM,Code 2 Transport,01/01/2016 02:00:58 AM,0 Block of WILMOT ST,San Francisco,94115,B04,38,3512,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,4,5,Pacific Heights,160010282-KM04
160010571,KM02,16000119,01/01/2016,12/31/2015,01/01/2016 02:11:13 AM,01/01/2016 02:12:49 AM,01/01/2016 02:13:23 AM,01/01/2016 02:14:22 AM,01/01/2016 02:17:17 AM,01/01/2016 02:43:29 AM,01/01/2016 03:04:20 AM,Code 2 Transport,01/01/2016 03:29:46 AM,700 Block of 10TH AVE,San Francisco,94118,B07,31,7143,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,7,1,Inner Richmond,160010571-KM02
160010269,GATOR1,16000045,01/01/2016,12/31/2015,01/01/2016 12:57:29 AM,01/01/2016 12:58:46 AM,01/01/2016 01:30:30 AM,01/01/2016 01:30:30 AM,01/01/2016 01:33:44 AM,,,Other,01/01/2016 01:48:03 AM,0 Block of DRUMM ST,San Francisco,94111,B99,13,1113,2,2,2,true,Non Life-threatening,1,SUPPORT,3,1,3,Financial District/South Beach,160010269-GATOR1
160013626,B04,16000507,01/01/2016,01/01/2016,01/01/2016 09:28:32 PM,01/01/2016 09:29:40 PM,01/01/2016 09:29:47 PM,01/01/2016 09:30:31 PM,01/01/2016 09:34:55 PM,,,Fire,01/01/2016 09:36:43 PM,900 Block of GEARY ST,San Francisco,94109,B04,03,3116,3,3,3,false,Alarm,1,CHIEF,3,4,6,Tenderloin,160013626-B04
160012362,B06,16000369,01/01/2016,01/01/2016,01/01/2016 02:51:18 PM,01/01/2016 02:51:24 PM,01/01/2016 02:51:35 PM,01/01/2016 02:52:42 PM,01/01/2016 02:53:57 PM,,,Fire,01/01/2016 03:27:31 PM,1400 Block of NOE ST,San Francisco,94131,B06,11,5561,3,3,3,false,Fire,1,CHIEF,2,6,8,Noe Valley,160012362-B06
160013668,E36,16000513,01/01/2016,01/01/2016,01/01/2016 09:40:21 PM,01/01/2016 09:42:23 PM,01/01/2016 09:43:04 PM,01/01/2016 09:45:18 PM,,,,Code 2 Transport,01/01/2016 09:45:36 PM,4TH ST/MARKET ST,San Francisco,94103,B03,01,2212,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,1,6,South of Market,160013668-E36
160013387,70,16000478,01/01/2016,01/01/2016,01/01/2016 07:59:56 PM,01/01/2016 08:01:18 PM,01/01/2016 08:02:46 PM,01/01/2016 08:02:59 PM,01/01/2016 08:25:58 PM,01/01/2016 08:37:06 PM,01/01/2016 08:44:48 PM,Code 2 Transport,01/01/2016 09:12:15 PM,200 Block of 6TH ST,San Francisco,94103,B03,01,2252,2,3,3,true,Non Life-threatening,1,MEDIC,1,3,6,South of Market,160013387-70
160010108,RC1,16000016,01/01/2016,12/31/2015,01/01/2016 12:23:25 AM,01/01/2016 12:23:25 AM,01/01/2016 12:24:37 AM,01/01/2016 12:24:37 AM,01/01/2016 12:29:26 AM,,,Code 2 Transport,01/01/2016 12:45:29 AM,300 Block of JEFFERSON ST,San Francisco,94133,B01,28,1524,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,2,1,3,North Beach,160010108-RC1
160013011,E26,16000445,01/01/2016,01/01/2016,01/01/2016 06:06:54 PM,01/01/2016 06:10:18 PM,01/01/2016 06:10:54 PM,01/01/2016 06:12:36 PM,01/01/2016 06:14:02 PM,,,Code 2 Transport,01/01/2016 07:09:06 PM,5300 Block of DIAMOND HEIGHTS BLVD,San Francisco,94131,B06,26,8162,3,3,3,true,Alarm,1,ENGINE,1,6,8,Noe Valley,160013011-E26
160010797,81,16000156,01/01/2016,12/31/2015,01/01/2016 03:06:05 AM,01/01/2016 03:06:05 AM,01/01/2016 03:21:16 AM,01/01/2016 03:21:26 AM,01/01/2016 03:29:39 AM,,,Code 2 Transport,01/01/2016 04:31:41 AM,CASTRO ST/18TH ST,San Francisco,94114,B05,06,5416,2,2,2,true,Non Life-threatening,1,MEDIC,4,5,8,Castro/Upper Market,160010797-81
160010797,62,16000156,01/01/2016,12/31/2015,01/01/2016 03:06:05 AM,01/01/2016 03:06:05 AM,01/01/2016 03:08:21 AM,01/01/2016 03:08:39 AM,01/01/2016 03:13:14 AM,01/01/2016 03:47:54 AM,01/01/2016 03:52:50 AM,Code 2 Transport,01/01/2016 04:19:20 AM,CASTRO ST/18TH ST,San Francisco,94114,B05,06,5416,2,2,2,true,Non Life-threatening,1,MEDIC,3,5,8,Castro/Upper Market,160010797-62
160011068,T01,16000195,01/01/2016,12/31/2015,01/01/2016 05:01:15 AM,01/01/2016 05:03:59 AM,01/01/2016 05:05:00 AM,01/01/2016 05:08:14 AM,01/01/2016 05:10:28 AM,,,Fire,01/01/2016 05:14:50 AM,0 Block of MASON ST,San Francisco,94102,B03,01,1365,3,3,3,false,Alarm,1,TRUCK,2,3,6,Tenderloin,160011068-T01
160012467,E03,16000380,01/01/2016,01/01/2016,01/01/2016 03:22:00 PM,01/01/2016 03:23:29 PM,01/01/2016 03:24:00 PM,01/01/2016 03:25:05 PM,,,,Patient Declined Transport,01/01/2016 03:29:44 PM,700 Block of OFARRELL ST,San Francisco,94109,B04,03,1642,2,2,2,true,Potentially Life-Threatening,1,ENGINE,2,2,6,Tenderloin,160012467-E03
160013064,KM05,16000449,01/01/2016,01/01/2016,01/01/2016 06:24:43 PM,01/01/2016 06:26:07 PM,01/01/2016 06:27:43 PM,01/01/2016 06:28:21 PM,01/01/2016 06:33:45 PM,01/01/2016 06:49:45 PM,01/01/2016 07:28:32 PM,Code 2 Transport,01/01/2016 07:57:34 PM,300 Block of UNIVERSITY ST,San Francisco,94134,B09,42,6345,2,2,2,false,Non Life-threatening,1,PRIVATE,2,9,9,Portola,160013064-KM05
160012544,E02,16000385,01/01/2016,01/01/2016,01/01/2016 03:46:37 PM,01/01/2016 03:47:37 PM,01/01/2016 03:48:06 PM,01/01/2016 03:49:35 PM,01/01/2016 03:53:59 PM,,,Fire,01/01/2016 04:03:56 PM,100 Block of JEFFERSON ST,San Francisco,94133,B01,28,1521,3,3,3,true,Alarm,1,ENGINE,1,1,3,North Beach,160012544-E02
160010866,E08,16000167,01/01/2016,12/31/2015,01/01/2016 03:27:01 AM,01/01/2016 03:28:21 AM,01/01/2016 03:29:48 AM,01/01/2016 03:31:57 AM,01/01/2016 03:33:59 AM,01/01/2016 03:43:48 AM,,Code 2 Transport,01/01/2016 04:16:41 AM,4TH ST/BRYANT ST,San Francisco,94107,B03,08,2217,2,2,2,true,Non Life-threatening,1,ENGINE,1,3,6,South of Market,160010866-E08
160011724,B04,16000304,01/01/2016,01/01/2016,01/01/2016 11:14:53 AM,01/01/2016 11:16:50 AM,01/01/2016 11:19:56 AM,01/01/2016 11:20:32 AM,01/01/2016 11:25:31 AM,,,Fire,01/01/2016 11:31:33 AM,3400 Block of GEARY BLVD,San Francisco,94118,B07,10,4453,3,3,3,false,Alarm,1,CHIEF,4,7,1,Lone Mountain/USF,160011724-B04
160010188,72,16000028,01/01/2016,12/31/2015,01/01/2016 12:39:19 AM,01/01/2016 12:42:27 AM,01/01/2016 12:42:52 AM,01/01/2016 12:43:02 AM,01/01/2016 12:48:55 AM,01/01/2016 01:22:45 AM,01/01/2016 01:42:31 AM,Code 2 Transport,01/01/2016 02:07:20 AM,2000 Block of LAWTON ST,San Francisco,94122,B08,18,7454,3,3,3,true,Non Life-threatening,1,MEDIC,1,8,4,Sunset/Parkside,160010188-72
160011554,T11,16000276,01/01/2016,01/01/2016,01/01/2016 09:58:13 AM,01/01/2016 09:58:13 AM,01/01/2016 09:58:38 AM,01/01/2016 09:59:36 AM,,,,Fire,01/01/2016 10:01:24 AM,25TH ST/VALENCIA ST,San Francisco,94110,B06,11,5535,3,3,3,false,Alarm,1,TRUCK,2,6,8,Mission,160011554-T11
160011677,E51,16000298,01/01/2016,01/01/2016,01/01/2016 10:51:33 AM,01/01/2016 10:52:19 AM,01/01/2016 10:52:47 AM,01/01/2016 10:53:23 AM,01/01/2016 10:57:35 AM,,,Code 2 Transport,01/01/2016 11:23:09 AM,3200 Block of LYON ST,San Francisco,94123,B04,16,4325,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,2,Marina,160011677-E51
160010804,AM30,16000158,01/01/2016,12/31/2015,01/01/2016 03:08:46 AM,01/01/2016 03:08:46 AM,01/01/2016 03:08:46 AM,01/01/2016 03:08:46 AM,01/01/2016 03:08:46 AM,,,Patient Declined Transport,01/01/2016 03:57:16 AM,3RD ST/HOWARD ST,San Francisco,94105,B99,01,2177,2,2,2,false,Non Life-threatening,1,PRIVATE,1,3,6,Financial District/South Beach,160010804-AM30
160010886,E32,16000169,01/01/2016,12/31/2015,01/01/2016 03:33:27 AM,01/01/2016 03:35:41 AM,01/01/2016 03:37:19 AM,01/01/2016 03:39:10 AM,01/01/2016 03:42:29 AM,,,Code 2 Transport,01/01/2016 03:53:23 AM,0 Block of COTTER ST,San Francisco,94112,B09,15,8264,2,2,2,false,Non Life-threatening,1,ENGINE,1,9,11,Outer Mission,160010886-E32
160010194,E41,16000031,01/01/2016,12/31/2015,01/01/2016 12:42:50 AM,01/01/2016 12:43:55 AM,01/01/2016 12:48:09 AM,01/01/2016 12:48:35 AM,,,,Fire,01/01/2016 12:54:58 AM,1100 Block of LOMBARD ST,San Francisco,94109,B01,41,1625,2,3,3,false,Non Life-threatening,1,ENGINE,2,1,2,Russian Hill,160010194-E41
160011307,71,16000237,01/01/2016,12/31/2015,01/01/2016 07:48:38 AM,01/01/2016 07:48:38 AM,01/01/2016 07:53:10 AM,01/01/2016 07:55:59 AM,01/01/2016 07:59:38 AM,01/01/2016 08:19:27 AM,01/01/2016 08:23:33 AM,Code 2 Transport,01/01/2016 08:44:09 AM,24TH ST/FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,true,Alarm,1,MEDIC,2,6,9,Mission,160011307-71
160013962,RC1,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:33:19 PM,01/01/2016 11:33:19 PM,01/01/2016 11:34:54 PM,,,Patient Declined Transport,01/02/2016 12:07:46 AM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,5,2,6,Tenderloin,160013962-RC1
160012748,E08,16000412,01/01/2016,01/01/2016,01/01/2016 04:43:44 PM,01/01/2016 04:44:58 PM,01/01/2016 04:45:28 PM,01/01/2016 04:45:42 PM,,,,Code 2 Transport,01/01/2016 05:17:39 PM,200 Block of KING ST,San Francisco,94107,B03,08,2171,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,3,6,Mission Bay,160012748-E08
160012669,T17,16000405,01/01/2016,01/01/2016,01/01/2016 04:24:14 PM,01/01/2016 04:24:29 PM,01/01/2016 04:25:10 PM,01/01/2016 04:26:20 PM,,,,Code 3 Transport,01/01/2016 04:30:12 PM,1600 Block of NEWCOMB AVE,San Francisco,94124,B10,17,6515,3,3,3,false,Potentially Life-Threatening,1,TRUCK,3,10,10,Bayview Hunters Point,160012669-T17
160010244,52,16000041,01/01/2016,12/31/2015,01/01/2016 12:52:47 AM,01/01/2016 12:53:53 AM,01/01/2016 12:55:31 AM,01/01/2016 12:55:49 AM,01/01/2016 12:59:45 AM,01/01/2016 01:15:18 AM,01/01/2016 01:25:54 AM,Code 2 Transport,01/01/2016 01:46:24 AM,VALENCIA ST/22ND ST,San Francisco,94110,B06,07,5456,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,6,8,Mission,160010244-52
160013082,E21,16000451,01/01/2016,01/01/2016,01/01/2016 06:25:57 PM,01/01/2016 06:31:03 PM,01/01/2016 06:31:11 PM,01/01/2016 06:32:51 PM,01/01/2016 06:34:34 PM,,,Fire,01/01/2016 06:51:18 PM,1100 Block of MASONIC AVE,San Francisco,94117,B05,21,4466,3,3,3,false,Alarm,1,ENGINE,1,5,5,Haight Ashbury,160013082-E21
160010642,E07,16000131,01/01/2016,12/31/2015,01/01/2016 02:27:25 AM,01/01/2016 02:27:25 AM,01/01/2016 02:33:23 AM,01/01/2016 02:34:57 AM,01/01/2016 02:42:43 AM,,,Cancelled,01/01/2016 02:44:16 AM,0 Block of COLLINGWOOD ST,San Francisco,94114,B05,06,5415,2,2,2,true,Non Life-threatening,1,ENGINE,1,5,8,Castro/Upper Market,160010642-E07
160013917,E36,16000542,01/01/2016,01/01/2016,01/01/2016 11:12:20 PM,01/01/2016 11:14:07 PM,01/01/2016 11:14:33 PM,01/01/2016 11:16:09 PM,01/01/2016 11:19:33 PM,,,Fire,01/01/2016 11:30:37 PM,300 Block of GOLDEN GATE AVE,San Francisco,94102,B02,03,1644,2,2,2,true,Non Life-threatening,1,ENGINE,1,2,6,Tenderloin,160013917-E36
160011267,E37,16000229,01/01/2016,12/31/2015,01/01/2016 07:23:22 AM,01/01/2016 07:26:31 AM,01/01/2016 07:26:38 AM,01/01/2016 07:27:40 AM,01/01/2016 07:31:09 AM,,,Fire,01/01/2016 07:39:35 AM,200 Block of MISSOURI ST,San Francisco,94107,B03,37,2462,3,3,3,false,Alarm,1,ENGINE,1,3,10,Potrero Hill,160011267-E37
160010298,E03,16000050,01/01/2016,12/31/2015,01/01/2016 01:03:57 AM,01/01/2016 01:05:54 AM,01/01/2016 01:19:13 AM,01/01/2016 01:19:13 AM,01/01/2016 01:21:19 AM,,,Code 2 Transport,01/01/2016 01:33:14 AM,GOLDEN GATE AV/JONES ST,San Francisco,94102,B03,01,1454,2,2,2,true,Non Life-threatening,1,ENGINE,1,2,6,Tenderloin,160010298-E03
160011742,E03,16000307,01/01/2016,01/01/2016,01/01/2016 11:23:36 AM,01/01/2016 11:23:36 AM,01/01/2016 11:23:59 AM,01/01/2016 11:24:27 AM,01/01/2016 11:31:49 AM,,,Code 2 Transport,01/01/2016 11:31:53 AM,300 Block of EDDY ST,San Francisco,94102,B02,03,1540,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,160011742-E03
160012540,E19,16000384,01/01/2016,01/01/2016,01/01/2016 03:43:46 PM,01/01/2016 03:45:17 PM,01/01/2016 03:45:40 PM,01/01/2016 03:47:13 PM,01/01/2016 03:49:46 PM,,,Fire,01/01/2016 03:58:55 PM,3200 Block of 20TH AVE,San Francisco,94132,B08,19,8861,3,3,3,true,Alarm,1,ENGINE,2,8,7,Lakeshore,160012540-E19
160011634,KM09,16000288,01/01/2016,01/01/2016,01/01/2016 10:29:57 AM,01/01/2016 10:29:57 AM,01/01/2016 10:31:41 AM,01/01/2016 10:32:24 AM,01/01/2016 10:39:15 AM,01/01/2016 10:52:33 AM,01/01/2016 11:00:14 AM,Code 2 Transport,01/01/2016 11:27:13 AM,1700 Block of LARKIN ST,San Francisco,94109,B01,41,1633,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,1,3,Russian Hill,160011634-KM09
