standardCode,startPortionTopElevation,networkType,endPortionBuriedDepth,endPortionTopElevation,tubulationID,crossSection,NAME,startPortionBuriedDepth,locationRoad,startPointID,material,elementType,tubulationLength,endPointID
163101,1.58,DL,3.17,1.29,DL4384500027,400x400,DL4384500027,2.6,文松路,DL4384500019,,电力管-半径弯头/T 形三通,17,DL4384500033
163101,2.53,DL,1.72,2.67,DL4384500018,800x750,DL4384500018,1.83,文松路,DL4384500020,,电力管-半径弯头/T 形三通,14,DL4384500025
163101,3.61,DL,0.84,3.63,DL4384500024,120x60,DL4384500024,0.85,文松路,DL4384500022,,电力管-半径弯头/T 形三通,6,DL4384500015
163101,0.73,DL,1.84,2.5,DL4384500002,800x750,DL4384500002,1.81,文松路,DL4384500023,,电力管-半径弯头/T 形三通,17,DL4384500005
163101,0.7,DL,1.83,2.57,DL4384500021,800x750,DL4384500021,1.84,文松路,DL4384500023,,电力管-半径弯头/T 形三通,21,DL4384500021
163101,2.72,DL,1.35,2.83,DL4394500006,800x750,DL4394500006,1.72,文松路,DL4384500024,,电力管-半径弯头/T 形三通,32,DL4394500002
163101,3.04,DL,1.43,2.98,DL4394500049,150?,DL4394500049,1.45,文松路,DL4384500027,,电力管-T 形三通,39,DL4394500031
163101,3.88,DL,0.56,3.91,DL4384500040,1700x1400,DL4384500040,0.57,文松路,DL4384500028,,电力管-半径弯头/T 形三通,45,DL4384500013
163101,3.71,DL,0.57,3.88,DL4384500041,1700x1400,DL4384500041,0.62,文松路,DL4384500029,,电力管-半径弯头/T 形三通,38,DL4384500028
163101,3.68,DL,0.62,3.71,DL4384500042,1700x1400,DL4384500042,0.68,文松路,DL4384500030,,电力管-半径弯头/T 形三通,30,DL4384500029
163101,3.31,DL,0.68,3.68,DL4384500043,1700x1400,DL4384500043,0.71,文松路,DL4384500031,,电力管-半径弯头/T 形三通,31,DL4384500030
163101,3.14,DL,1.13,2.98,DL4384500046,900x1000,DL4384500046,0.84,文松路,DL4384500032,,电力管-半径弯头/T 形三通,4,DL4384500039
163101,1.29,DL,2.78,1.35,DL4384500033,400x400,DL4384500033,3.17,文松路,DL4384500033,,电力管-半径弯头/T 形三通,18,DL4384490003
163101,3.55,DL,0.71,3.31,DL4384500044,1700x1400,DL4384500044,0.56,文松路,DL4384500039,,电力管-半径弯头/T 形三通,37,DL4384500031
163101,4.39,DL,0.68,4.26,DL4394500045,850 mmx650 mm,DL4394500045,0.68,壶江路,DL4384500040,,电力管-铸铁,56.5,DL4394500012
163101,3.86,DL,0.45,3.98,DL4384510001,50?,DL4384510001,0.43,文松路,DL4384510001,,电力管-T 形三通,2,DL4384510002
163101,3.98,DL,0.4,3.57,DL4384510002,50?,DL4384510002,0.45,文松路,DL4384510002,,电力管-T 形三通,23,DL4384510003
163101,3.57,DL,0.35,3.33,DL4384510003,50?,DL4384510003,0.4,文松路,DL4384510003,,电力管-T 形三通,5,DL4384510004
163101,3.33,DL,0.36,3.48,DL4384510004,50?,DL4384510004,0.35,文松路,DL4384510004,,电力管-T 形三通,6,DL4384510005
163101,4.13,DL,1.05,3.43,DL4384500031,800x750,DL4384500031,0.65,文松路,DL4384510007,,电力管-半径弯头/T 形三通,93,DL4384500001
163101,4.66,DL,0.15,4.6,DL4384510027,30 mm?,DL4384510027,0.16,东湖路,DL4384510008,,电力管-圆形风管,2.7,DL4384510031
163101,4.01,DL,0.66,4.21,DL4384510044,200 mmx200 mm,DL4384510044,0.54,东湖路,DL4384510008,,电力管-风管,21.75,DL4384510042
163101,4.39,DL,0.5,4.25,DL4384510019,300 mmx250 mm,DL4384510019,0.44,东湖路,DL4384510008,,电力管-风管,3.2,DL4384510009
163101,4.39,DL,0.55,4.31,DL4384510020,300 mmx250 mm,DL4384510020,0.55,东湖路,DL4384510009,,电力管-风管,9.86,DL4384510029
163101,3.49,DL,1.32,3.49,DL4384510021,650 mmx400 mm,DL4384510021,1.25,东湖路,DL4384510010,,电力管-风管,16.52,DL4384510006
163101,4.64,DL,0.0,4.83,DL4384510042,30 mm?,DL4384510042,0.1,东湖路,DL4384510010,,电力管-圆形风管,2.01,DL4384510039
163101,4.09,DL,0.72,3.88,DL4384510016,850 mmx550 mm,DL4384510016,0.68,东湖路,DL4384510017,,电力管-风管,24,DL4384510018
163101,3.92,DL,0.82,3.71,DL4384510013,750 mmx750 mm,DL4384510013,0.7,东湖路,DL4384510019,,电力管-风管,21.8,DL4384510021
163101,3.79,DL,0.68,3.91,DL4384510010,750 mmx550 mm,DL4384510010,0.85,东湖路,DL4384510020,,电力管-风管,19.5,DL4384510023
163101,3.91,DL,0.7,3.92,DL4384510007,750 mmx550 mm,DL4384510007,0.7,东湖路,DL4384510022,,电力管-风管,20.25,DL4384510024
163101,3.92,DL,0.15,4.47,DL4384510006,750 mmx550 mm,DL4384510006,0.7,东湖路,DL4384510024,,电力管-风管,2.04,DL4384510016
163101,3.86,DL,0.8,3.85,DL4384510043,750 mmx550 mm,DL4384510043,0.7,东湖路,DL4384510025,,电力管-风管,10.1,DL4384510034
163101,3.39,DL,1.25,3.58,DL4384510018,800 mmx150 mm,DL4384510018,1.2,东湖路,DL4384510026,,电力管-风管,16.6,DL4384510008
163101,4.47,DL,0.15,4.42,DL4384510026,50 mm?,DL4384510026,0.15,东湖路,DL4384510027,,电力管-圆形风管,4.46,DL4384510030
163101,4.51,DL,0.0,4.43,DL4384510023,150 mm?,DL4384510023,0.29,东湖路,DL4384510028,,电力管-圆形风管,18.2,DL4384510014
163101,4.2,DL,0.55,4.31,DL4384510025,300 mmx250 mm,DL4384510025,0.55,东湖路,DL4384510029,,电力管-风管,8.48,DL4384510010
163101,4.28,DL,0.65,4.15,DL4384510028,250 mmx100 mm,DL4384510028,0.67,东湖路,DL4384510031,,电力管-风管,25.16,DL4384510009
163101,4.12,DL,0.67,4.28,DL4384510031,250 mmx100 mm,DL4384510031,0.7,东湖路,DL4384510032,,电力管-风管,19.36,DL4384510011
163101,4.17,DL,0.61,4.31,DL4384510029,850 mmx550 mm,DL4384510029,0.63,东湖路,DL4384510033,,电力管-风管,53.2,DL4384520001
163101,3.85,DL,0.8,3.89,DL4384510034,750 mmx550 mm,DL4384510034,0.8,东湖路,DL4384510034,,电力管-风管,10.5,DL4384510035
163101,3.89,DL,0.85,3.97,DL4384510033,750 mmx550 mm,DL4384510033,0.8,东湖路,DL4384510035,,电力管-风管,43.8,DL4384510036
163101,3.97,DL,0.9,4.1,DL4384510032,750 mmx550 mm,DL4384510032,0.85,东湖路,DL4384510036,,电力管-风管,38.8,DL4384500040
163101,3.96,DL,0.9,4.17,DL4384500047,200 mmx200 mm,DL4384500047,0.93,东湖路,DL4384510038,,电力管-风管,61.38,DL4384500041
163101,4.09,DL,0.82,4.09,DL4384510036,150 mm?,DL4384510036,0.8,东湖路,DL4384510038,,电力管-圆形风管,2.34,DL4384510037
163101,4.83,DL,0.0,4.82,DL4384510037,30 mm?,DL4384510037,0.0,东湖路,DL4384510039,,电力管-圆形风管,2.68,DL4384510040
163101,4.82,DL,0.1,4.44,DL4384510038,30 mm?,DL4384510038,0.0,东湖路,DL4384510040,,电力管-圆形风管,2.08,DL4384510041
163101,4.44,DL,0.1,4.26,DL4384510039,30 mm?,DL4384510039,0.1,东湖路,DL4384510041,,电力管-圆形风管,9.7,DL4384510044
163101,4.17,DL,0.88,4.01,DL4384510035,200 mmx200 mm,DL4384510035,0.66,东湖路,DL4384510042,,电力管-风管,49.82,DL4384510038
163101,4.26,DL,0.0,4.58,DL4384510040,30 mm?,DL4384510040,0.1,东湖路,DL4384510044,,电力管-圆形风管,0.95,DL4384510045
163101,4.58,DL,0.32,4.31,DL4384510041,30 mm?,DL4384510041,0.0,东湖路,DL4384510045,,电力管-圆形风管,8.12,DL4384510043
163101,4.31,DL,0.82,4.17,DL4384520016,850 mmx550 mm,DL4384520016,0.61,东湖路,DL4384520001,,电力管-风管,21.9,DL4384520003
163101,4.17,DL,0.98,4.07,DL4384520012,850 mmx550 mm,DL4384520012,0.82,东湖路,DL4384520003,,电力管-风管,22.7,DL4384520006
163101,4.61,DL,0.44,4.63,DL4384520014,150 mm?,DL4384520014,0.38,东湖路,DL4384520003,,电力管-圆形风管,5.3,DL4384520005
163101,4.59,DL,0.77,4.27,DL4384520015,300 mmx300 mm,DL4384520015,0.4,东湖路,DL4384520003,,电力管-风管,4.1,DL4384520002
163101,4.63,DL,0.4,4.81,DL4384520013,150 mm?,DL4384520013,0.4,东湖路,DL4384520005,,电力管-圆形风管,2.61,DL4384520004
163101,4.07,DL,0.62,4.3,DL4384520011,850 mmx550 mm,DL4384520011,0.98,东湖路,DL4384520006,,电力管-风管,15.4,DL4384520008
163101,4.3,DL,0.83,4.2,DL4384520009,850 mmx550 mm,DL4384520009,0.62,东湖路,DL4384520008,,电力管-风管,32.26,DL4384520009
163101,4.3,DL,0.6,4.31,DL4384520010,600 mmx150 mm,DL4384520010,0.62,东湖路,DL4384520008,,电力管-风管,5.6,DL4384520007
163101,4.2,DL,1.12,3.84,DL4384520008,850 mmx550 mm,DL4384520008,0.83,东湖路,DL4384520009,,电力管-风管,52.4,DL4384520011
163101,3.38,DL,1,3.91,DL4384520004,900 mmx150 mm,DL4384520004,1.58,东湖路,DL4384520011,,电力管-风管,17.11,DL4384520013
163101,4.41,DL,0.5,4.58,DL4384520007,900 mmx300 mm,DL4384520007,0.55,东湖路,DL4384520011,,电力管-风管,3.4,DL4384520010
163101,4.16,DL,0.9,3.99,DL4384520006,850 mmx150 mm,DL4384520006,0.8,东湖路,DL4384520011,,电力管-风管,15.9,DL4394520001
163101,3.84,DL,0.78,3.98,DL4384520005,850 mmx550 mm,DL4384520005,1.12,东湖路,DL4384520011,,电力管-风管,49.5,DL4394530001
163101,4.3,DL,0.52,4.43,DL4384520002,300 mmx300 mm,DL4384520002,0.6,东湖路,DL4384520012,,电力管-风管,54.9,DL4384520014
163101,4.43,DL,0.8,4.22,DL4384520001,300 mmx300 mm,DL4384520001,0.52,东湖路,DL4384520014,,电力管-风管,56.72,DL4384520015
163101,4.22,DL,0.7,4.11,DL4384520017,300 mmx300 mm,DL4384520017,0.8,东湖路,DL4384520015,,电力管-风管,41.9,DL4384520016
163101,4.11,DL,0.7,4.12,DL4384510045,300 mmx300 mm,DL4384510045,0.7,东湖路,DL4384520016,,电力管-风管,43.33,DL4384510032
163101,4.15,DL,0.5,4.4,DL4384520003,300 mmx300 mm,DL4384520003,0.6,东湖路,DL4384530001,,电力管-风管,53.74,DL4384520012
163101,-0.98,DL,3.7,-0.57,DL4394480018,800x1300,DL4394480018,3.85,文松路,DL4394480001,,电力管-半径弯头/T 形三通,9,DL4394480002
163101,-0.57,DL,1.04,2.46,DL4394480017,800x1300,DL4394480017,3.7,文松路,DL4394480002,,电力管-半径弯头/T 形三通,28,DL4394480003
163101,2.42,DL,1.02,2.47,DL4394480013,800x1300,DL4394480013,1.06,文松路,DL4394480004,,电力管-半径弯头/T 形三通,54,DL4394480007
163101,0.0,DL,0.0,0.0,DL4394480015,800x1300,DL4394480015,0.0,文松路,DL4394480006,,电力管-半径弯头/T 形三通,3,DL4394480005
163101,2.51,DL,0.95,2.3,DL4394480009,800x1000,DL4394480009,0.94,文松路,DL4394480008,,电力管-半径弯头/T 形三通,29,DL4394480015
163101,0.0,DL,0.0,0.0,DL4394480011,800x1000,DL4394480011,0.0,文松路,DL4394480009,,电力管-半径弯头/T 形三通,2,DL4394480010
163101,2.43,DL,0.88,2.89,DL4394490031,800x1000,DL4394490031,0.85,文松路,DL4394480012,,电力管-半径弯头/T 形三通,25,DL4394490001
163101,0.0,DL,0.0,0.0,DL4394480006,800x1000,DL4394480006,0.0,文松路,DL4394480013,,电力管-半径弯头/T 形三通,13,DL4394480011
163101,0.0,DL,0.0,0.0,DL4394480007,800x1000,DL4394480007,0.0,文松路,DL4394480014,,电力管-半径弯头/T 形三通,12,DL4394480013
163101,2.71,DL,1.1,2.41,DL4394480002,900x900,DL4394480002,1.08,文松路,DL4394480016,,电力管-半径弯头/T 形三通,29,DL4394480017
163101,2.41,DL,1.13,2.63,DL4394480003,900x900,DL4394480003,1.1,文松路,DL4394480017,,电力管-半径弯头/T 形三通,12,DL4394480018
163101,3.02,DL,0.72,2.62,DL4394480024,150?,DL4394480024,0.74,文松路,DL4394480018,,电力管-T 形三通,3,DL4394480023
163101,1.69,DL,0.32,1.72,DL4394480021,150?,DL4394480021,0.64,文松路,DL4394480020,,电力管-T 形三通,14,DL4394480021
163101,2.67,DL,0.64,1.69,DL4394480022,150?,DL4394480022,0.75,文松路,DL4394480022,,电力管-T 形三通,16,DL4394480020
163101,2.62,DL,0.75,2.67,DL4394480023,150?,DL4394480023,0.72,文松路,DL4394480023,,电力管-T 形三通,11,DL4394480022
163101,2.66,DL,1.92,2.24,DL4394480031,900x900,DL4394480031,1.9,文松路,DL4394480024,,电力管-半径弯头/T 形三通,44,DL4404480017
163101,2.55,DL,1.9,2.66,DL4394480029,900x900,DL4394480029,1.88,文松路,DL4394480025,,电力管-半径弯头/T 形三通,5,DL4394480024
163101,2.19,DL,1.94,2.87,DL4394490085,150 mm?,DL4394490085,2.09,金滨路,DL4394480027,塑料,电力管-PE管,19.57,DL4394490073
163101,4.3,DL,0.0,4.48,DL4394480033,100 mm?,DL4394480033,0.0,金滨路,DL4394480030,塑料,电力管-PE管,45.13,DL4404480021
163101,4.29,DL,0.0,4.28,DL4394490068,100 mm?,DL4394490068,0.0,金滨路,DL4394480031,塑料,电力管-PE管,23.7,DL4394490064
163101,4.28,DL,0.0,4.28,DL4394480035,100 mm?,DL4394480035,0.0,金滨路,DL4394480032,塑料,电力管-PE管,44.5,DL4404480019
163101,2.89,DL,0.9,2.97,DL4394490030,800x1000,DL4394490030,0.88,文松路,DL4394490001,,电力管-半径弯头/T 形三通,66,DL4394490032
163101,0.0,DL,0.0,0.0,DL4394490028,800x1000,DL4394490028,0.0,文松路,DL4394490002,,电力管-半径弯头/T 形三通,3,DL4394490003
163101,3.9,DL,1.05,2.85,DL4394490025,900x900,DL4394490025,0.12,文松路,DL4394490004,,电力管-半径弯头/T 形三通,11,DL4394490033
163101,3.88,DL,0.55,3.15,DL4394490020,850x700,DL4394490020,0.1,文松路,DL4394490005,,电力管-半径弯头/T 形三通,6,DL4394490034
163101,2.77,DL,1.21,3.06,DL4394490038,800x750,DL4394490038,1.41,文松路,DL4394490007,,电力管-半径弯头/T 形三通,37,DL4394500003
163101,2.66,DL,1.42,2.84,DL4394490035,800x1000,DL4394490035,1.41,文松路,DL4394490008,,电力管-半径弯头/T 形三通,10,DL4394490011
163101,2.68,DL,0.0,0.0,DL4394490064,750x550,DL4394490064,1.4,文松路,DL4394490009,,电力管-半径弯头/T 形三通,60,DL4394490055
163101,2.84,DL,1.35,2.68,DL4394490002,800x1000,DL4394490002,1.42,文松路,DL4394490011,,电力管-半径弯头/T 形三通,39,DL4394490036
163101,3.22,DL,0.44,3.35,DL4394490017,700x200,DL4394490017,0.45,文松路,DL4394490012,,电力管-半径弯头/T 形三通,6,DL4394490013
163101,3.35,DL,0.58,3.29,DL4394490018,700x200,DL4394490018,0.44,文松路,DL4394490013,,电力管-半径弯头/T 形三通,21,DL4394490030
163101,0.35,DL,5.08,-0.95,DL4394490011,100 mm?,DL4394490011,3.73,金滨路,DL4394490015,塑料,电力管-PE管,5.69,DL4394490027
163101,1.09,DL,3.73,0.35,DL4394490012,100 mm?,DL4394490012,2.96,金滨路,DL4394490016,塑料,电力管-PE管,5.25,DL4394490015
163101,2.38,DL,2.96,1.09,DL4394490013,100 mm?,DL4394490013,1.98,金滨路,DL4394490017,塑料,电力管-PE管,5.06,DL4394490016
163101,3.06,DL,1.98,2.38,DL4394490014,100 mm?,DL4394490014,1.94,金滨路,DL4394490018,塑料,电力管-PE管,5.19,DL4394490017
163101,3.31,DL,1.94,3.06,DL4394490015,100 mm?,DL4394490015,2.14,金滨路,DL4394490019,塑料,电力管-PE管,7.45,DL4394490018
163101,2.18,DL,1.8,3.22,DL4394490003,100 mm?,DL4394490003,2.08,金滨路,DL4394490020,塑料,电力管-PE管,8.07,DL4394490014
163101,0.63,DL,2.08,2.18,DL4394490004,100 mm?,DL4394490004,3.45,金滨路,DL4394490021,塑料,电力管-PE管,6.08,DL4394490020
163101,-0.04,DL,3.45,0.63,DL4394490005,100 mm?,DL4394490005,4.12,金滨路,DL4394490022,塑料,电力管-PE管,5.54,DL4394490021
163101,-0.54,DL,4.12,-0.04,DL4394490006,100 mm?,DL4394490006,4.68,金滨路,DL4394490023,塑料,电力管-PE管,5.12,DL4394490022
163101,-0.81,DL,4.68,-0.54,DL4394490007,100 mm?,DL4394490007,5.02,金滨路,DL4394490024,塑料,电力管-PE管,4.91,DL4394490023
163101,-0.97,DL,5.02,-0.81,DL4394490008,100 mm?,DL4394490008,5.23,金滨路,DL4394490025,塑料,电力管-PE管,3.88,DL4394490024
163101,-0.97,DL,5.23,-0.97,DL4394490009,100 mm?,DL4394490009,5.17,金滨路,DL4394490026,塑料,电力管-PE管,4.22,DL4394490025
163101,-0.95,DL,5.17,-0.97,DL4394490010,100 mm?,DL4394490010,5.08,金滨路,DL4394490027,塑料,电力管-PE管,4.72,DL4394490026
163101,0.0,DL,0.12,3.9,DL4394490022,900x900,DL4394490022,0.0,文松路,DL4394490028,,电力管-半径弯头/T 形三通,3,DL4394490004
163101,0.0,DL,0.1,3.88,DL4394490021,850x700,DL4394490021,0.0,文松路,DL4394490028,,电力管-半径弯头/T 形三通,2,DL4394490005
163101,2.39,DL,1.08,2.71,DL4394490026,900x900,DL4394490026,1.06,文松路,DL4394490029,,电力管-半径弯头/T 形三通,69,DL4394480016
163101,3.29,DL,0.58,3.12,DL4394490019,700x200,DL4394490019,0.58,文松路,DL4394490030,,电力管-半径弯头/T 形三通,10,DL4394490034
163101,2.85,DL,1.06,2.39,DL4394490023,900x900,DL4394490023,1.05,文松路,DL4394490033,,电力管-半径弯头/T 形三通,37,DL4394490029
163101,2.68,DL,1.66,2.69,DL4394490042,800x1000,DL4394490042,1.35,文松路,DL4394490036,,电力管-半径弯头/T 形三通,18,DL4394490049
163101,2.43,DL,1.91,2.41,DL4394490054,800x1000,DL4394490054,1.85,文松路,DL4394490040,,电力管-半径弯头/T 形三通,33,DL4394480026
163101,2.27,DL,1.85,2.43,DL4394490053,800x1000,DL4394490053,2.02,文松路,DL4394490041,,电力管-半径弯头/T 形三通,30,DL4394490040
163101,2.35,DL,2.02,2.27,DL4394490052,800x1000,DL4394490052,1.92,文松路,DL4394490042,,电力管-半径弯头/T 形三通,24,DL4394490041
163101,2.1,DL,1.92,2.35,DL4394490051,800x1000,DL4394490051,2.05,文松路,DL4394490043,,电力管-半径弯头/T 形三通,13,DL4394490042
163101,3.11,DL,1.32,3.67,DL4394490050,150?,DL4394490050,1.24,文松路,DL4394490045,,电力管-T 形三通,9,DL4394490035
163101,2.58,DL,2.12,1.92,DL4394490045,800x1000,DL4394490045,1.91,文松路,DL4394490047,,电力管-半径弯头/T 形三通,14,DL4394490044
163101,2.65,DL,1.91,2.58,DL4394490044,800x1000,DL4394490044,1.72,文松路,DL4394490048,,电力管-半径弯头/T 形三通,30,DL4394490047
163101,2.69,DL,1.72,2.65,DL4394490043,800x1000,DL4394490043,1.66,文松路,DL4394490049,,电力管-半径弯头/T 形三通,39,DL4394490048
163101,2.94,DL,0.75,2.95,DL4394490001,850x600,DL4394490001,1.12,文松路,DL4394490051,,电力管-半径弯头/T 形三通,57,DL4394490034
163101,2.76,DL,1.23,2.81,DL4394490062,150?,DL4394490062,1.21,文松路,DL4394490052,,电力管-T 形三通,3,DL4394490054
163101,3.76,DL,0.32,3.65,DL4394490058,150?,DL4394490058,0.25,文松路,DL4394490053,,电力管-T 形三通,2,DL4394490052
163101,2.91,DL,1.12,2.94,DL4394490061,850x600,DL4394490061,1.1,文松路,DL4394490053,,电力管-半径弯头/T 形三通,3,DL4394490051
163101,2.81,DL,1.45,3.14,DL4394490063,150?,DL4394490063,1.23,文松路,DL4394490054,,电力管-T 形三通,40,DL4384490002
163101,3.02,DL,0.45,3.22,DL4394490016,700x200,DL4394490016,0.47,文松路,DL4394490059,,电力管-半径弯头/T 形三通,7,DL4394490012
163101,2.97,DL,0.47,3.13,DL4394490089,700 mmx200 mm,DL4394490089,0.55,东湖路,DL4394490060,,电力管-风管,13.14,DL4394490058
163101,2.87,DL,0.5,2.99,DL4394490090,450 mmx450 mm,DL4394490090,0.65,东湖路,DL4394490060,,电力管-风管,2.28,DL4394490059
163101,3.13,DL,0.65,2.87,DL4394490087,450 mmx450 mm,DL4394490087,0.6,东湖路,DL4394490061,,电力管-风管,53.92,DL4394490060
163101,4.22,DL,0.18,4.33,DL4394490065,150 mm?,DL4394490065,0.12,金滨路,DL4394490063,塑料,电力管-PE管,7.84,DL4394490078
163101,4.28,DL,0.0,4.84,DL4394490069,100 mm?,DL4394490069,0.0,金滨路,DL4394490064,塑料,电力管-PE管,14.91,DL4394490065
163101,4.84,DL,0.0,4.46,DL4394490070,100 mm?,DL4394490070,0.0,金滨路,DL4394490065,塑料,电力管-PE管,14.21,DL4394490075
163101,4.83,DL,0.0,4.82,DL4394490077,100 mm?,DL4394490077,0.0,金滨路,DL4394490066,塑料,电力管-PE管,14.4,DL4394490068
163101,4.81,DL,0.0,4.3,DL4394490071,100 mm?,DL4394490071,0.0,金滨路,DL4394490067,塑料,电力管-PE管,23.61,DL4394480030
163101,4.82,DL,0.0,4.28,DL4394490078,100 mm?,DL4394490078,0.0,金滨路,DL4394490068,塑料,电力管-PE管,23.16,DL4394480032
163101,4.82,DL,0.0,4.81,DL4394490072,100 mm?,DL4394490072,0.0,金滨路,DL4394490069,塑料,电力管-PE管,14.1,DL4394490067
163101,4.3,DL,0.0,4.82,DL4394490073,100 mm?,DL4394490073,0.0,金滨路,DL4394490070,塑料,电力管-PE管,16.21,DL4394490069
163101,4.28,DL,0.0,4.3,DL4394490074,100 mm?,DL4394490074,0.0,金滨路,DL4394490071,塑料,电力管-PE管,10.6,DL4394490070
163101,4.28,DL,0.0,4.83,DL4394490066,100 mm?,DL4394490066,0.0,金滨路,DL4394490072,塑料,电力管-PE管,24.71,DL4394490066
163101,2.87,DL,1.62,3.2,DL4394490084,150 mm?,DL4394490084,1.94,金滨路,DL4394490073,塑料,电力管-PE管,15.48,DL4394490074
163101,3.2,DL,0.98,3.19,DL4394490083,150 mm?,DL4394490083,1.62,金滨路,DL4394490074,塑料,电力管-PE管,24.32,DL4394490076
163101,4.46,DL,0.0,4.28,DL4394490079,100 mm?,DL4394490079,0.0,金滨路,DL4394490075,塑料,电力管-PE管,11.72,DL4394490077
163101,4.28,DL,0.0,3.77,DL4394490067,100 mm?,DL4394490067,0.0,金滨路,DL4394490077,塑料,电力管-PE管,25.81,DL4404490006
163101,3.18,DL,1.2,3.23,DL4394490081,1100 mmx150 mm,DL4394490081,1.25,金滨路,DL4394490080,,电力管-矩形风管,6.37,DL4394490079
163101,4.43,DL,0.52,3.91,DL4394490082,700 mmx700 mm,DL4394490082,0.32,东湖路,DL4394490081,,电力管-风管,38.5,DL4394490080
163101,3.35,DL,1.25,3.18,DL4624370004,1100 mmx150 mm,DL4624370004,1.23,金滨路,DL4394490081,,电力管-矩形风管,18.8,DL4394490080
163101,4.43,DL,0.52,3.91,DL4394490080,700 mmx700 mm,DL4394490080,0.32,金滨路,DL4394490082,,电力管-矩形风管,12.52,DL4394490080
163101,3.82,DL,0.36,3.78,DL4394500007,150?,DL4394500007,0.36,文松路,DL4394500002,,电力管-T 形三通,4,DL4394500001
163101,2.83,DL,1.41,2.69,DL4394490041,800x750,DL4394490041,1.35,文松路,DL4394500002,,电力管-半径弯头/T 形三通,57,DL4394490010
163101,4.05,DL,0.65,4.35,DL4394500037,850 mmx650 mm,DL4394500037,0.65,壶江路,DL4394500004,,电力管-铸铁,29.6,DL4394500019
163101,4.87,DL,0.01,5.2,DL4394500039,50 mm?,DL4394500039,0.42,壶江路,DL4394500005,塑料,电力管-PE,8.93,DL4394500010
