standardCode,networkType,groundElevation,NAME,locationRoad,pointID,elementType
161112,JS,8.35,JS4534420006,滨江滨海路,JS4534420006,阀门
161112,JS,7.12,JS4624360011,滨江滨海路,JS4624360011,给水阀门
161112,JS,9.02,JS4514500002,滨江滨海路,JS4514500002,阀门
161112,JS,7.72,JS4604370022,滨江滨海路,JS4604370022,阀门
161112,JS,4.47,JS4394490012,金滨路,JS4394490012,给水阀门
161112,JS,4.78,JS4404530007,悦湖路,JS4404530007,给水阀门
161112,JS,4.8,JS4404530009,壶江路,JS4404530009,给水阀门
161112,JS,5.04,JS4414560028,壶江路,JS4414560028,给水阀门
161112,JS,5.1,JS4404530004,壶江路,JS4404530004,给水阀门
161112,JS,5.31,JS4394550022,东湖路,JS4394550022,给水阀门
161112,JS,5.49,JS4394490045,东湖路,JS4394490045,给水阀门
161112,JS,5,JS4384500018,文松路,JS4384500018,给水阀门
161112,JS,3.51,JS4404470038,文松路,JS4404470038,给水阀门
161112,JS,0.0,JS4404470040,文松路,JS4404470040,给水阀门
161112,JS,8.04,JS4614360016,滨江滨海路,JS4614360016,给水阀门
161112,JS,9.01,JS4504500008,滨江滨海路,JS4504500008,阀门
161112,JS,10.35,JS4554410012,滨江滨海路,JS4554410012,阀门
161112,JS,4.21,JS4624350015,滨江滨海路,JS4624350015,阀门
161112,JS,9.55,JS4504530001,滨江滨海路,JS4504530001,阀门
161112,JS,7.92,JS4534420004,滨江滨海路,JS4534420004,阀门
161112,JS,0.0,JS4444590010,漳江路,JS4444590010,给水阀门
161112,JS,4.95,JS4394500018,壶江路,JS4394500018,给水阀门
161112,JS,4.39,JS4414570011,壶江路,JS4414570011,给水阀门
161112,JS,5.36,JS4394530022,东湖路,JS4394530022,给水阀门
161112,JS,4.51,JS4444390003,文松路,JS4444390003,给水阀门
161112,JS,4.23,JS4394490007,文松路,JS4394490007,给水阀门
161112,JS,4.98,JS4434420005,文松路,JS4434420005,给水阀门
161112,JS,3.63,JS4624350012,滨江滨海路,JS4624350012,阀门
161112,JS,9.33,JS4504500015,滨江滨海路,JS4504500015,阀门
161112,JS,7.71,JS4524450012,滨江滨海路,JS4524450012,阀门
161112,JS,7.32,JS4614360012,滨江滨海路,JS4614360012,阀门
161112,JS,10.5,JS4494590008,滨江滨海路,JS4494590008,阀门
161112,JS,10.91,JS4554400008,滨江滨海路,JS4554400008,阀门
161112,JS,4.8,JS4404530008,悦湖路,JS4404530008,给水阀门
161112,JS,4.78,JS4404530010,壶江路,JS4404530010,给水阀门
161112,JS,4.66,JS4394500021,壶江路,JS4394500021,给水阀门
161112,JS,4.98,JS4424610023,东湖路,JS4424610023,给水阀门
161113,JS,0.0,JS4414460008,文松路,JS4414460008,给水阀门井 2
161113,JS,3.9,JS4414460010,文松路,JS4414460010,给水阀门井 2
161113,JS,4.48,JS4394490015,文松路,JS4394490015,给水阀门井 2
161113,JS,8.37,JS4574390001,滨江滨海路,JS4574390001,给水阀门井
161113,JS,8.7,JS4494570004,滨江滨海路,JS4494570004,给水阀门井 2
161113,JS,7.84,JS4514470011,滨江滨海路,JS4514470011,给水阀门井
161113,JS,8.23,JS4564390001,滨江滨海路,JS4564390001,给水阀门井
161113,JS,10.45,JS4484620001,滨江滨海路,JS4484620001,给水阀门井
161113,JS,9.55,JS4504530001,滨江滨海路,JS4504530001,给水阀门井
161113,JS,4.44,JS4434510018,湖文路,JS4434510018,给水阀门井
161113,JS,4.68,JS4424510019,湖文路,JS4424510019,给水阀门井
161113,JS,5.06,JS4444530015,湖文路,JS4444530015,给水阀门井
161113,JS,4.44,JS4624380014,湖文路,JS4624380014,给水阀门井
161113,JS,3.75,JS4424510024,湖文路,JS4424510024,给水阀门井
161113,JS,4.5,JS4424510023,湖文路,JS4424510023,给水阀门井
161113,JS,4.6,JS4434520002,湖文路,JS4434520002,给水阀门井
161113,JS,5.06,JS4434520043,湖文路,JS4434520043,给水阀门井
161113,JS,5.14,JS4624380027,湖文路,JS4624380027,给水阀门井
161113,JS,4.78,JS4404530007,悦湖路,JS4404530007,给水阀门井
161113,JS,4.8,JS4404530008,悦湖路,JS4404530008,给水阀门井
161113,JS,4.56,JS4434510013,悦湖路,JS4434510013,给水阀门井
161113,JS,4.5,JS4424520019,悦湖路,JS4424520019,给水阀门井
161113,JS,4.74,JS4444560035,漳江路,JS4444560035,给水阀门井
161113,JS,4.61,JS4424520027,悦湖路,JS4424520027,给水阀门井
161113,JS,5.28,JS4394510005,壶江路,JS4394510005,给水阀门井
161113,JS,4.6,JS4394520014,壶江路,JS4394520014,给水阀门井
161113,JS,5.31,JS4424610015,东湖路,JS4424610015,给水阀门井
161113,JS,3.99,JS4434410001,文松路,JS4434410001,给水阀门井
161113,JS,0.0,JS4404470040,文松路,JS4404470040,给水阀门井
161113,JS,3.98,JS4394490004,文松路,JS4394490004,给水阀门井 2
161113,JS,4.6,JS4384500022,文松路,JS4384500022,给水阀门井
161113,JS,8.35,JS4534420006,滨江滨海路,JS4534420006,给水阀门井
161113,JS,7.12,JS4624360011,滨江滨海路,JS4624360011,给水阀门井
161113,JS,9.33,JS4504500015,滨江滨海路,JS4504500015,给水阀门井
161113,JS,7.92,JS4534420004,滨江滨海路,JS4534420004,给水阀门井
161113,JS,5.86,JS4624360009,滨江滨海路,JS4624360009,给水阀门井
161113,JS,9.48,JS4494580003,滨江滨海路,JS4494580003,给水阀门井
161113,JS,4.26,JS4424510029,湖文路,JS4424510029,给水阀门井
161113,JS,4.82,JS4424500014,湖文路,JS4424500014,给水阀门井
161113,JS,4.49,JS4434520045,湖文路,JS4434520045,给水阀门井
161113,JS,5.43,JS4444530005,湖文路,JS4444530005,给水阀门井
161113,JS,4.22,JS4434530010,湖文路,JS4434530010,给水阀门井
161113,JS,4.28,JS4624380022,湖文路,JS4624380022,给水阀门井
161113,JS,4.93,JS4434520015,湖文路,JS4434520015,给水阀门井
161113,JS,5.21,JS4434520034,湖文路,JS4434520034,给水阀门井
161113,JS,4.56,JS4434510017,湖文路,JS4434510017,给水阀门井
161113,JS,4.93,JS4454540001,漳江路,JS4454540001,给水阀门井
161113,JS,4.64,JS4454530019,漳江路,JS4454530019,给水阀门井
161113,JS,4.91,JS4454540006,漳江路,JS4454540006,给水阀门井
161113,JS,4.09,JS4434510007,悦湖路,JS4434510007,给水阀门井
161113,JS,5.63,JS4434590006,漳江路,JS4434590006,给水阀门井
161113,JS,4.94,JS4414540018,壶江路,JS4414540018,给水阀门井
161113,JS,4.8,JS4404530009,壶江路,JS4404530009,给水阀门井
161113,JS,5.09,JS4404550013,东湖路,JS4404550013,给水阀门井
161113,JS,0.0,JS4414450024,文松路,JS4414450024,给水阀门井
161113,JS,4.23,JS4394490007,文松路,JS4394490007,给水阀门井
161113,JS,4.33,JS4384500008,文松路,JS4384500008,给水阀门井 2
161113,JS,4.51,JS4444390003,文松路,JS4444390003,给水阀门井
161113,JS,8.28,JS4524440007,滨江滨海路,JS4524440007,给水阀门井
161113,JS,3.43,JS4624350016,滨江滨海路,JS4624350016,给水阀门井
161113,JS,10.23,JS4494570012,滨江滨海路,JS4494570012,给水阀门井
161113,JS,7.95,JS4534430005,滨江滨海路,JS4534430005,给水阀门井
161113,JS,7.9,JS4604370018,滨江滨海路,JS4604370018,给水阀门井
161113,JS,9.9,JS4494570003,滨江滨海路,JS4494570003,给水阀门井
161113,JS,4.44,JS4424510009,湖文路,JS4424510009,给水阀门井
161113,JS,4.64,JS4424500011,湖文路,JS4424500011,给水阀门井
161113,JS,4.99,JS4434520021,湖文路,JS4434520021,给水阀门井
161113,JS,4.37,JS4434530006,湖文路,JS4434530006,给水阀门井
161113,JS,5.07,JS4444530018,湖文路,JS4444530018,给水阀门井
161113,JS,4.81,JS4424510025,湖文路,JS4424510025,给水阀门井
161113,JS,5.21,JS4434520010,湖文路,JS4434520010,给水阀门井
161113,JS,4.72,JS4434520032,湖文路,JS4434520032,给水阀门井
161113,JS,4.41,JS4424510002,湖文路,JS4424510002,给水阀门井
161113,JS,4.5,JS4624380055,悦湖路,JS4624380055,给水阀门井
161113,JS,4.92,JS4444540016,漳江路,JS4444540016,给水阀门井
161113,JS,0.0,JS4444590010,漳江路,JS4444590010,给水阀门井
161113,JS,4.41,JS4424510005,悦湖路,JS4424510005,给水阀门井
161113,JS,3.98,JS4434510029,悦湖路,JS4434510029,给水阀门井
161113,JS,5.17,JS4394510003,壶江路,JS4394510003,给水阀门井
161113,JS,4.85,JS4414560032,壶江路,JS4414560032,给水阀门井
161113,JS,4.88,JS4394500019,壶江路,JS4394500019,给水阀门井-1
161113,JS,5.56,JS4394490043,东湖路,JS4394490043,给水阀门井
161113,JS,0.0,JS4404470007,文松路,JS4404470007,给水阀门井 2
161113,JS,4.17,JS4404470029,文松路,JS4404470029,给水阀门井
161113,JS,4.11,JS4484330004,文松路,JS4484330004,给水阀门井
161113,JS,3.43,JS4404470037,文松路,JS4404470037,给水阀门井
161113,JS,8.43,JS4514460010,滨江滨海路,JS4514460010,给水阀门井
161113,JS,7.88,JS4614360014,滨江滨海路,JS4614360014,给水阀门井
161113,JS,9.88,JS4494600001,滨江滨海路,JS4494600001,给水阀门井
161113,JS,7.67,JS4524450003,滨江滨海路,JS4524450003,给水阀门井
161113,JS,7.49,JS4594370003,滨江滨海路,JS4594370003,给水阀门井
161113,JS,4.53,JS4624350010,滨江滨海路,JS4624350010,给水阀门井
161113,JS,4.41,JS4414490006,湖文路,JS4414490006,给水阀门井
161113,JS,3.96,JS4414480004,湖文路,JS4414480004,给水阀门井
161113,JS,4.57,JS4624380031,湖文路,JS4624380031,给水阀门井
161113,JS,4.8,JS4434520014,湖文路,JS4434520014,给水阀门井
161113,JS,4.42,JS4444530025,湖文路,JS4444530025,给水阀门井
161113,JS,4.06,JS4414500007,湖文路,JS4414500007,给水阀门井
161113,JS,4.99,JS4444530017,湖文路,JS4444530017,给水阀门井
161113,JS,5.02,JS4624380037,湖文路,JS4624380037,给水阀门井
161113,JS,4.71,JS4624380017,湖文路,JS4624380017,给水阀门井
161113,JS,4.2,JS4434510003,悦湖路,JS4434510003,给水阀门井
161113,JS,5.66,JS4434590009,漳江路,JS4434590009,给水阀门井
161113,JS,4.54,JS4454530016,漳江路,JS4454530016,给水阀门井
161113,JS,4.42,JS4454530005,漳江路,JS4454530005,给水阀门井
161113,JS,4.75,JS4424520023,悦湖路,JS4424520023,给水阀门井
161113,JS,5.04,JS4404540007,壶江路,JS4404540007,给水阀门井
161113,JS,4.39,JS4414570011,壶江路,JS4414570011,给水阀门井
161113,JS,4.95,JS4394500018,壶江路,JS4394500018,给水阀门井-1
161113,JS,4.76,JS4404580008,东湖路,JS4404580008,给水阀门井-1
161113,JS,5.42,JS4414600013,东湖路,JS4414600013,给水阀门井-1
161113,JS,3.96,JS4394490008,文松路,JS4394490008,给水阀门井 2
161113,JS,4.44,JS4454370008,文松路,JS4454370008,给水阀门井
161113,JS,4.57,JS4474350004,文松路,JS4474350004,给水阀门井
161113,JS,9.02,JS4514500002,滨江滨海路,JS4514500002,给水阀门井
161113,JS,7.72,JS4604370022,滨江滨海路,JS4604370022,给水阀门井
161113,JS,8.07,JS4524450006,滨江滨海路,JS4524450006,给水阀门井
161113,JS,8.83,JS4504490001,滨江滨海路,JS4504490001,给水阀门井
161113,JS,8.27,JS4534430004,滨江滨海路,JS4534430004,给水阀门井
161113,JS,4.14,JS4434530011,湖文路,JS4434530011,给水阀门井
161113,JS,4.01,JS4414480021,湖文路,JS4414480021,给水阀门井
161113,JS,5.48,JS4624380038,湖文路,JS4624380038,给水阀门井
161113,JS,4.45,JS4624380020,湖文路,JS4624380020,给水阀门井
161113,JS,5.21,JS4434520018,湖文路,JS4434520018,给水阀门井
161113,JS,4.7,JS4434520030,湖文路,JS4434520030,给水阀门井
161113,JS,4.42,JS4414480002,湖文路,JS4414480002,给水阀门井
161113,JS,5.01,JS4424500039,湖文路,JS4424500039,给水阀门井
161113,JS,4.34,JS4624380021,湖文路,JS4624380021,给水阀门井
161113,JS,4.31,JS4394490025,金滨路,JS4394490025,给水阀门井
161113,JS,3.75,JS4624380050,悦湖路,JS4624380050,给水阀门井
161113,JS,4.18,JS4434500015,悦湖路,JS4434500015,给水阀门井
161113,JS,5.02,JS4624380046,漳江路,JS4624380046,给水阀门井
161113,JS,0.0,JS4444590008,漳江路,JS4444590008,给水阀门井
161113,JS,4.25,JS4434500004,悦湖路,JS4434500004,给水阀门井
161113,JS,4.82,JS4414560029,壶江路,JS4414560029,给水阀门井
161113,JS,4.66,JS4394500021,壶江路,JS4394500021,给水阀门井
161113,JS,4.78,JS4404530010,壶江路,JS4404530010,给水阀门井
161113,JS,5.36,JS4394530022,东湖路,JS4394530022,给水阀门井-1
161113,JS,5.31,JS4394550022,东湖路,JS4394550022,给水阀门井-1
161113,JS,5,JS4384500018,文松路,JS4384500018,给水阀门井
161113,JS,4.9,JS4494310002,文松路,JS4494310002,给水阀门井 2
161113,JS,4.24,JS4444400001,文松路,JS4444400001,给水阀门井 2
161113,JS,4.21,JS4624350015,滨江滨海路,JS4624350015,给水阀门井
161113,JS,8.94,JS4494540002,滨江滨海路,JS4494540002,给水阀门井
161113,JS,8.6,JS4574400001,滨江滨海路,JS4574400001,给水阀门井
161113,JS,8.04,JS4614360016,滨江滨海路,JS4614360016,给水阀门井
161113,JS,9.55,JS4504510007,滨江滨海路,JS4504510007,给水阀门井
161113,JS,10.91,JS4554400008,滨江滨海路,JS4554400008,给水阀门井
161113,JS,4.75,JS4434520028,湖文路,JS4434520028,给水阀门井
161113,JS,4.76,JS4434520005,湖文路,JS4434520005,给水阀门井
161113,JS,4.96,JS4444530003,湖文路,JS4444530003,给水阀门井
161113,JS,4.15,JS4414490008,湖文路,JS4414490008,给水阀门井
161113,JS,4.28,JS4624380018,湖文路,JS4624380018,给水阀门井
161113,JS,4.55,JS4434520044,湖文路,JS4434520044,给水阀门井
161113,JS,3.93,JS4414480005,湖文路,JS4414480005,给水阀门井
161113,JS,4.51,JS4424500010,湖文路,JS4424500010,给水阀门井
161113,JS,4.3,JS4424500033,湖文路,JS4424500033,给水阀门井
161113,JS,0.0,JS4394490027,金滨路,JS4394490027,给水阀门井-2
161113,JS,5.2,JS4444570020,漳江路,JS4444570020,给水阀门井
161113,JS,4.44,JS4434510024,悦湖路,JS4434510024,给水阀门井
161113,JS,5.12,JS4624380039,漳江路,JS4624380039,给水阀门井
161113,JS,4.77,JS4454530013,漳江路,JS4454530013,给水阀门井
161113,JS,4.19,JS4434510008,悦湖路,JS4434510008,给水阀门井
161113,JS,5.11,JS4394500017,壶江路,JS4394500017,给水阀门井
161113,JS,4.96,JS4384500025,壶江路,JS4384500025,给水阀门井
161113,JS,5.04,JS4414560028,壶江路,JS4414560028,给水阀门井
161113,JS,5.18,JS4424610017,东湖路,JS4424610017,给水阀门井
161113,JS,5.49,JS4394490045,东湖路,JS4394490045,给水阀门井
161113,JS,4.32,JS4454370006,文松路,JS4454370006,给水阀门井 2
161113,JS,4.79,JS4454380016,文松路,JS4454380016,给水阀门井 2
161113,JS,4.18,JS4434420007,文松路,JS4434420007,给水阀门井
161113,JS,7.32,JS4614360012,滨江滨海路,JS4614360012,给水阀门井
161113,JS,10.5,JS4494590008,滨江滨海路,JS4494590008,给水阀门井
161113,JS,10.35,JS4554410012,滨江滨海路,JS4554410012,给水阀门井
161113,JS,3.63,JS4624350012,滨江滨海路,JS4624350012,给水阀门井
161113,JS,9.96,JS4484630004,滨江滨海路,JS4484630004,给水阀门井
161113,JS,7.71,JS4524450012,滨江滨海路,JS4524450012,给水阀门井
161113,JS,4.9,JS4434520042,湖文路,JS4434520042,给水阀门井
161113,JS,5.18,JS4434520008,湖文路,JS4434520008,给水阀门井
161113,JS,4.67,JS4434520003,湖文路,JS4434520003,给水阀门井
161113,JS,4.39,JS4414490009,湖文路,JS4414490009,给水阀门井
161113,JS,4.59,JS4424500008,湖文路,JS4424500008,给水阀门井
161113,JS,4.89,JS4434520023,湖文路,JS4434520023,给水阀门井
161113,JS,3.91,JS4414480019,湖文路,JS4414480019,给水阀门井
161113,JS,4.25,JS4424500032,湖文路,JS4424500032,给水阀门井
161113,JS,4.28,JS4414480003,湖文路,JS4414480003,给水阀门井
161113,JS,4.47,JS4394490012,金滨路,JS4394490012,给水阀门井-2
161113,JS,4.85,JS4444570018,漳江路,JS4444570018,给水阀门井
161113,JS,5.41,JS4444580002,漳江路,JS4444580002,给水阀门井
161113,JS,4.71,JS4424520025,悦湖路,JS4424520025,给水阀门井
161113,JS,5.51,JS4444570022,漳江路,JS4444570022,给水阀门井
161113,JS,4.68,JS4444550026,漳江路,JS4444550026,给水阀门井
161113,JS,4.68,JS4424510006,悦湖路,JS4424510006,给水阀门井
161113,JS,4.74,JS4394500005,壶江路,JS4394500005,给水阀门井-1
161113,JS,4.62,JS4404520001,壶江路,JS4404520001,给水阀门井
161113,JS,4.73,JS4394510007,壶江路,JS4394510007,给水阀门井
161113,JS,5.55,JS4404570025,东湖路,JS4404570025,给水阀门井-1
161113,JS,3.66,JS4434410003,文松路,JS4434410003,给水阀门井 2
161113,JS,4.98,JS4434420005,文松路,JS4434420005,给水阀门井
161113,JS,3.51,JS4404470038,文松路,JS4404470038,给水阀门井
161113,JS,7.74,JS4604370019,滨江滨海路,JS4604370019,给水阀门井
161113,JS,8.95,JS4504530010,滨江滨海路,JS4504530010,给水阀门井
161113,JS,7.78,JS4524450005,滨江滨海路,JS4524450005,给水阀门井
161113,JS,8.15,JS4604370016,滨江滨海路,JS4604370016,给水阀门井
161113,JS,8.52,JS4544420001,滨江滨海路,JS4544420001,给水阀门井
161113,JS,9.01,JS4504500008,滨江滨海路,JS4504500008,给水阀门井
161113,JS,4.66,JS4624380032,湖文路,JS4624380032,给水阀门井
161113,JS,4.99,JS4434510004,湖文路,JS4434510004,给水阀门井
161113,JS,5.15,JS4444530026,湖文路,JS4444530026,给水阀门井
161113,JS,3.95,JS4414480020,湖文路,JS4414480020,给水阀门井
161113,JS,4.61,JS4414490007,湖文路,JS4414490007,给水阀门井
161113,JS,4.71,JS4434520033,湖文路,JS4434520033,给水阀门井
161113,JS,4.58,JS4624380009,湖文路,JS4624380009,给水阀门井
161113,JS,4.33,JS4414490027,湖文路,JS4414490027,给水阀门井
161113,JS,3.85,JS4414480017,湖文路,JS4414480017,给水阀门井
161113,JS,5.68,JS4444530002,漳江路,JS4444530002,给水阀门井
161113,JS,4.59,JS4444550021,漳江路,JS4444550021,给水阀门井
161113,JS,5.01,JS4424520008,悦湖路,JS4424520008,给水阀门井
161113,JS,4.16,JS4434510027,悦湖路,JS4434510027,给水阀门井
161113,JS,4.63,JS4454530015,漳江路,JS4454530015,给水阀门井
161113,JS,5.06,JS4424510011,悦湖路,JS4424510011,给水阀门井
161113,JS,4.66,JS4394520012,壶江路,JS4394520012,给水阀门井
161113,JS,4.86,JS4414560009,壶江路,JS4414560009,给水阀门井
161113,JS,5.1,JS4404530004,壶江路,JS4404530004,给水阀门井
161113,JS,4.93,JS4384520019,东湖路,JS4384520019,给水阀门井-1
161114,JS,9.38,JS4504510009,滨江滨海路,JS4504510009,给水消火栓
161114,JS,8.18,JS4544420010,滨江滨海路,JS4544420010,给水消火栓
161114,JS,10.31,JS4494590012,滨江滨海路,JS4494590012,给水消火栓
161114,JS,9.49,JS4504510003,滨江滨海路,JS4504510003,给水消火栓
161114,JS,8.94,JS4564400004,滨江滨海路,JS4564400004,给水消火栓
161114,JS,8.97,JS4494550004,滨江滨海路,JS4494550004,给水消火栓
161114,JS,,JS4404570086,东湖路,JS4404570086,给水消火栓
161114,JS,,JS4384540357,东湖路,JS4384540357,给水消火栓
161114,JS,,JS4384530193,东湖路,JS4384530193,给水消火栓
161114,JS,8.52,JS4544420005,滨江滨海路,JS4544420005,给水消火栓
161114,JS,9.02,JS4504530008,滨江滨海路,JS4504530008,给水消火栓
161114,JS,10.45,JS4564400013,滨江滨海路,JS4564400013,给水消火栓
161114,JS,10.23,JS4484610001,滨江滨海路,JS4484610001,给水消火栓
161114,JS,8.85,JS4504520012,滨江滨海路,JS4504520012,给水消火栓
161114,JS,8.12,JS4524440001,滨江滨海路,JS4524440001,给水消火栓
161114,JS,9.5,JS4494580004,滨江滨海路,JS4494580004,给水消火栓
161114,JS,,JS4394560041,东湖路,JS4394560041,给水消火栓
161114,JS,,JS4414600173,东湖路,JS4414600173,给水消火栓
161114,,,JS4384520215,东湖路,JS4384520215,消火栓
161114,JS,10.44,JS4554410011,滨江滨海路,JS4554410011,给水消火栓
161114,JS,8.94,JS4494540003,滨江滨海路,JS4494540003,给水消火栓
161114,JS,8.24,JS4524440011,滨江滨海路,JS4524440011,给水消火栓
161114,JS,8.39,JS4534420010,滨江滨海路,JS4534420010,给水消火栓
161114,JS,8.86,JS4494550011,滨江滨海路,JS4494550011,给水消火栓
161114,JS,7.66,JS4524450001,滨江滨海路,JS4524450001,给水消火栓
161114,JS,10.36,JS4494590005,滨江滨海路,JS4494590005,给水消火栓
161114,JS,,JS4394550319,东湖路,JS4394550319,给水消火栓
161114,JS,10.73,JS4554400007,滨江滨海路,JS4554400007,给水消火栓
161114,JS,9.42,JS4494550015,滨江滨海路,JS4494550015,给水消火栓
161114,JS,8.35,JS4514460009,滨江滨海路,JS4514460009,给水消火栓
161114,JS,8.39,JS4544410011,滨江滨海路,JS4544410011,给水消火栓
161114,JS,10.22,JS4494560008,滨江滨海路,JS4494560008,给水消火栓
161114,JS,8.22,JS4514470001,滨江滨海路,JS4514470001,给水消火栓
161114,JS,9.72,JS4484600004,滨江滨海路,JS4484600004,给水消火栓
161114,JS,,JS4394550112,东湖路,JS4394550112,给水消火栓
161114,JS,,JS4404580109,东湖路,JS4404580109,给水消火栓
161114,JS,7.64,JS4534430007,滨江滨海路,JS4534430007,给水消火栓
161114,JS,9.94,JS4494570008,滨江滨海路,JS4494570008,给水消火栓
161114,JS,8.49,JS4514490007,滨江滨海路,JS4514490007,给水消火栓
161114,JS,9.41,JS4564400010,滨江滨海路,JS4564400010,给水消火栓
161114,JS,9.49,JS4494580006,滨江滨海路,JS4494580006,给水消火栓
161114,JS,7.84,JS4514480007,滨江滨海路,JS4514480007,给水消火栓
161114,JS,7.68,JS4484570007,金滨路,JS4484570007,给水消火栓
161114,JS,,JS4394540068,东湖路,JS4394540068,给水消火栓
161114,JS,,JS4394570049,东湖路,JS4394570049,给水消火栓
